Table 6.2 Consumption of  Energy Sources,,,,,,
,,,,,,(In Petajoules)
Year,Coal ,Lignite,Crude Oil *,Natural  Gas,Electricity #,Total
1,2,3,4,5,6,7
2009-10,8894,391,7811,2288,2206,21590
2010-11,8972,428,8248,2471,2500,22620
2011-12,9664,476,8547,2483,2827,23996
2012-13,10794,527,9178,2210,2967,25676
2013-14,11186,499,9316,2017,3147,26166
2014-15,12439,534,9347,1976,3415,27711
2015-16,12660,480,9750,2023,3604,28517
2016-17,12667,491,10273,2145,3820,29397
2017-18,13595,527,10549,2279,4044,30993
2018-19(P),14650,521,10769,2340,4170,32450
% Share in total consumption for 2018-19,45.1,1.6,33.2,7.2,12.9,100
CAGR 2008-09 to 2017-18(%),5.12,2.9,3.26,0.22,6.58,4.16
